state,gender,year,name,number
KS,F,2013,Annabelle,48
KS,F,2013,Aubrey,77
KY,F,2013,Kaitlyn,38
KY,F,2013,Sofia,57
KY,F,2013,Madelyn,67
LA,F,2013,Mariah,51
LA,F,2013,Jade,39
MA,F,2013,Angelina,53
MA,F,2013,Peyton,46
MD,F,2013,Makayla,55
MD,F,2013,Morgan,80
MD,F,2013,Ariana,74
MD,F,2013,Hannah,165
MI,F,2013,Elizabeth,237
MI,F,2013,Hazel,51
MI,F,2013,Amaya,39
MI,F,2013,Reese,83
MI,F,2013,Victoria,141
MI,F,2013,Lilly,82
MI,F,2013,Isabel,66
MN,F,2013,Eliana,45
MN,F,2013,Genevieve,37
MN,F,2013,Lilly,40
MN,F,2013,Willow,49
MN,F,2013,Norah,79
MN,F,2013,Allison,76
MN,F,2013,Brielle,61
MN,F,2013,Bella,55
MO,F,2013,Alyssa,63
MO,F,2013,Kennedy,114
MO,F,2013,Lucy,101
MO,F,2013,Brooke,64
MO,F,2013,Eleanor,85
MO,F,2013,Jordyn,63
MS,F,2013,Nevaeh,49
MS,F,2013,Olivia,97
MS,F,2013,Sadie,79
MT,F,2013,Sophia,49
NC,F,2013,Jennifer,39
NC,F,2013,Eva,100
NC,F,2013,Cadence,41
NC,F,2013,Haven,44
NC,F,2013,Eleanor,101
NC,F,2013,Olivia,484
NC,F,2013,Alexandria,59
ND,F,2013,Ava,54
NH,F,2013,Emma,93
NJ,F,2013,Gemma,37
NJ,F,2013,Riley,170
NJ,F,2013,Penelope,108
NJ,F,2013,Nyla,63
NJ,F,2013,Sienna,65
NJ,F,2013,Kendall,47
NJ,F,2013,Valentina,152
NJ,F,2013,Mary,43
NM,F,2013,Ava,63
NM,F,2013,Ariana,45
NV,F,2013,Addison,55
NV,F,2013,Emma,170
NV,F,2013,Hailey,42
NV,F,2013,Lily,48
NY,F,2013,Nyla,104
NY,F,2013,Madisyn,39
NY,F,2013,Journey,37
NY,F,2013,Jaliyah,43
NY,F,2013,Rachel,327
NY,F,2013,Juliet,124
NY,F,2013,Rivky,68
NY,F,2013,Yaretzi,52
NY,F,2013,Eileen,43
NY,F,2013,Elena,137
NY,F,2013,Sarai,56
NY,F,2013,Katelyn,78
NY,F,2013,Aleena,56
NY,F,2013,Madelyn,177
NY,F,2013,Lana,48
NY,F,2013,Athena,74
NY,F,2013,Daphne,55
OH,F,2013,Journey,41
OH,F,2013,Brianna,99
OH,F,2013,Nevaeh,194
OH,F,2013,Ruth,46
OH,F,2013,Audrey,241
OK,F,2013,Isabella,167
PA,F,2013,Serenity,179
PA,F,2013,Teagan,58
PA,F,2013,Jennifer,42
PA,F,2013,Willow,83
PA,F,2013,Cassidy,78
PA,F,2013,Phoebe,38
PA,F,2013,Sierra,40
PA,F,2013,Nyla,57
PA,F,2013,Katherine,113
PA,F,2013,Laila,97
RI,F,2013,Mia,49
SC,F,2013,Lily,82
SC,F,2013,Reagan,64
SC,F,2013,Lilly,40
SD,F,2013,Olivia,53
TN,F,2013,Harmony,60
TN,F,2013,Josie,41
TN,F,2013,Maya,45
TN,F,2013,Mckinley,42
TN,F,2013,Josephine,38
TX,F,2013,Kenia,65
TX,F,2013,Hanna,76
TX,F,2013,Yaretzi,171
TX,F,2013,Alani,40
TX,F,2013,Diana,159
TX,F,2013,Melissa,206
TX,F,2013,Eliza,102
TX,F,2013,Athena,144
TX,F,2013,Allison,817
TX,F,2013,Averie,94
TX,F,2013,Cataleya,117
TX,F,2013,Jordyn,190
TX,F,2013,Marisol,63
TX,F,2013,Zara,71
TX,F,2013,Halle,40
TX,F,2013,Jimena,174
TX,F,2013,Aniyah,152
TX,F,2013,Maria,399
TX,F,2013,Elaine,40
TX,F,2013,Ariadne,59
TX,F,2013,Hattie,49
TX,F,2013,Ryan,56
TX,F,2013,Kylee,175
TX,F,2013,Macy,68
TX,F,2013,Charlee,87
VA,F,2013,Willow,52
VA,F,2013,Eva,95
VA,F,2013,Elise,68
WA,F,2013,Hadley,96
WA,F,2013,Stella,121
WA,F,2013,Aubree,62
WI,F,2013,Lily,143
WI,F,2013,Zoey,135
WI,F,2013,Eliana,52
WI,F,2013,Lucy,112
WI,F,2013,Harper,226
WI,F,2013,Peyton,72
AK,F,2013,Sophia,49
AL,F,2013,Mackenzie,46
AL,F,2013,Scarlett,51
AL,F,2013,Ariana,46
AR,F,2013,Chloe,91
AR,F,2013,London,44
AZ,F,2013,Olivia,362
AZ,F,2013,Bella,99
AZ,F,2013,Penelope,121
AZ,F,2013,Skylar,53
AZ,F,2013,Eleanor,39
AZ,F,2013,Eliana,55
CA,F,2013,Jazmin,184
CA,F,2013,Juniper,58
CA,F,2013,Emilee,54
CA,F,2013,Paisley,212
CA,F,2013,Callie,86
CA,F,2013,Kristina,47
CA,F,2013,Mabel,45
CA,F,2013,Aubree,384
CA,F,2013,Julianna,273
CA,F,2013,Dallas,44
CA,F,2013,Claudia,50
CA,F,2013,Kailey,105
CA,F,2013,Gisselle,73
CA,F,2013,Evangeline,139
CA,F,2013,Nathaly,80
CA,F,2013,Whitney,45
CA,F,2013,Sage,97
CA,F,2013,Aisha,51
CA,F,2013,Abbey,41
CA,F,2013,Haylee,92
CA,F,2013,Eileen,99
CA,F,2013,Gemma,108
CA,F,2013,Ryan,58
CA,F,2013,Paula,65
CA,F,2013,Jackeline,37
CA,F,2013,Zoya,40
CA,F,2013,Joy,98
CA,F,2013,Lailah,50
CA,F,2013,Evelyn,954
CA,F,2013,Juliet,240
CA,F,2013,Cali,259
CA,F,2013,Azalea,76
CO,F,2013,Kylie,43
CO,F,2013,Natalie,112
CO,F,2013,Genevieve,42
CO,F,2013,Mya,40
CO,F,2013,Madeline,60
CO,F,2013,Nicole,44
CT,F,2013,Brooklyn,51
DC,F,2013,Genesis,40
FL,F,2013,Abigail,711
FL,F,2013,Mckenna,50
FL,F,2013,Jillian,42
FL,F,2013,Allie,54
FL,F,2013,Angel,59
FL,F,2013,Arianna,345
FL,F,2013,Alanna,41
FL,F,2013,Lucia,82
FL,F,2013,Annalise,37
FL,F,2013,Alina,64
GA,F,2013,Lauren,160
GA,F,2013,Giselle,38
GA,F,2013,Angel,50
GA,F,2013,Laila,108
GA,F,2013,Sadie,190
GA,F,2013,Ella,237
GA,F,2013,Adalynn,60
GA,F,2013,Katie,53
GA,F,2013,Kamryn,42
GA,F,2013,Claire,98
IA,F,2013,Rylee,38
IA,F,2013,Brooklynn,38
IA,F,2013,Abigail,77
IA,F,2013,Annabelle,47
IA,F,2013,Sophia,169
IA,F,2013,Eleanor,44
IL,F,2013,Lauren,126
IL,F,2013,Jillian,38
IL,F,2013,Crystal,38
IL,F,2013,Hope,47
IL,F,2013,Nadia,51
IL,F,2013,Ruby,126
IL,F,2013,Emma,786
IL,F,2013,Evelyn,355
IL,F,2013,Ariana,174
IL,F,2013,Georgia,45
IL,F,2013,Iris,43
IL,F,2013,Annabelle,140
IL,F,2013,Gemma,47
IN,F,2013,Nevaeh,142
IN,F,2013,Laila,49
IN,F,2013,Audrey,137
IN,F,2013,Paige,48
IN,F,2013,Sydney,69
IN,F,2013,Maya,49
IN,F,2013,Jocelyn,50
KS,F,2013,Elizabeth,117
KY,F,2013,Gabriella,52
KY,F,2013,Savannah,76
KY,F,2013,Chloe,170
LA,F,2013,Sophie,62
LA,F,2013,Eva,38
LA,F,2013,Elizabeth,121
MA,F,2013,Norah,52
MA,F,2013,Samantha,141
MA,F,2013,Genesis,51
MA,F,2013,Summer,44
MA,F,2013,Stella,105
MD,F,2013,Eden,57
MD,F,2013,Margaret,39
MI,F,2013,Sadie,109
MI,F,2013,Aniyah,44
MI,F,2013,Nadia,40
MI,F,2013,Ella,302
MI,F,2013,Nora,115
MI,F,2013,Lyla,57
MN,F,2013,Gabriella,71
MN,F,2013,Ava,264
MN,F,2013,Maria,48
MN,F,2013,Scarlett,93
MN,F,2013,Caroline,45
MN,F,2013,Chloe,140
MN,F,2013,Faith,59
MN,F,2013,Adeline,75
MO,F,2013,Reese,70
MO,F,2013,Lydia,105
MS,F,2013,Kyleigh,40
MS,F,2013,Harper,73
NC,F,2013,Lucy,98
NC,F,2013,Naomi,144
NC,F,2013,Victoria,167
NC,F,2013,Abigail,465
NC,F,2013,Brooke,58
NE,F,2013,Kinley,37
NE,F,2013,Isabella,90
NJ,F,2013,Andrea,71
NJ,F,2013,Destiny,48
NJ,F,2013,Payton,41
NJ,F,2013,Brynn,58
NV,F,2013,Nicole,41
NV,F,2013,Hannah,57
NV,F,2013,Charlotte,78
NV,F,2013,Mia,169
NY,F,2013,Gabriella,498
NY,F,2013,Leyla,46
NY,F,2013,Natalie,408
NY,F,2013,Mila,187
NY,F,2013,Nora,184
NY,F,2013,Anabelle,45
NY,F,2013,Amira,59
NY,F,2013,Sadie,210
NY,F,2013,Aaliyah,304
NY,F,2013,Reagan,90
NY,F,2013,Tessa,68
NY,F,2013,Naomi,217
OH,F,2013,Finley,40
OH,F,2013,Jordan,53
OH,F,2013,Hannah,269
OH,F,2013,Delaney,81
OH,F,2013,Ruby,104
OH,F,2013,Aliyah,71
OH,F,2013,Lucy,168
OK,F,2013,Kaylee,74
OK,F,2013,Bailey,43
OK,F,2013,Paisley,113
OK,F,2013,Riley,48
OK,F,2013,Emery,49
OK,F,2013,Gracie,53
OK,F,2013,Trinity,55
OR,F,2013,Josephine,39
OR,F,2013,Leah,48
OR,F,2013,Penelope,73
PA,F,2013,Andrea,48
PA,F,2013,Vanessa,56
PA,F,2013,Lyla,88
PA,F,2013,Lydia,171
PA,F,2013,Aubree,174
PA,F,2013,Kyla,47
PA,F,2013,Talia,42
PA,F,2013,Katie,75
