Ten_San_Pham,Tu_Gia,Den_Gia,Gia_Goc,Thuong_Hieu
Laptop ACER Aspire 5 A515-58M-56YX (Core i5-13420H/RAM 16GB/Onboard/512GB SSD/ Windows 11),16490000,0,17490000,ACER
Laptop gaming HP Victus 15-fb1022AX - 94F19PA (Ryzen 5 7535HS/RAM 16GB/GeForce RTX 2050/512GB SSD/ Windows 11),18490000,0,25490000,HP
Laptop Dell Inspiron 5440 G14 - N4I7204W1 (Core 7-150U) (Xanh),25490000,0,26490000,DELL
MacBook Pro 14 inch M3 2023 (36GB/512GB SSD),63390000,0,0,APPLE
Laptop HP 15-fd0083TU - 8D736PA (i7-1355U/RAM 16GB/Onboard/512GB SSD/ Windows 11),19890000,0,22490000,HP
Laptop MSI Modern 14 C13M-607VN (i7-1355U) (Đen),15990000,0,21490000,MSI
Laptop HP Pavilion 15-eg2088TU (7C0R0PA) (i7-1260P/RAM 16GB/Onboard/512GB SSD/ Windows 11),20990000,0,25290000,HP
Laptop gaming HP Victus 15-fa1139TX - 8Y6W3PA (i5-12450H/RAM 16GB/GeForce RTX 2050/512GB SSD/ Windows 11),18990000,0,24590000,HP
Laptop Dell Vostro 3520 - 71030559 (i5-1235U) (Xám),16490000,0,16790000,DELL
Laptop gaming MSI Cyborg 15 A12VF-267VN (i7-12650H/RAM 8GB/GeForce RTX 4060/512GB SSD/ Windows 11),23990000,0,30490000,MSI
Laptop gaming ASUS TUF Gaming A15 FA506NF-HN005W (Ryzen 5 7535HS/RAM 8GB/GeForce RTX 2050/512GB SSD/ Windows 11),15990000,0,19990000,ASUS
Laptop gaming Acer Nitro 16 Phoenix AN16-41-R5M4 (NH.QKBSV.003) (AMD Ryzen 5-7535HS) (Đen),25990000,0,29990000,ACER
Laptop ACER Gaming Aspire 5 A515-58GM-53PZ (i5-13420H/RAM 8GB/GeForce RTX 2050/512GB SSD/ Windows 11),16490000,0,20490000,ACER
Laptop ASUS Zenbook 14 OLED - UX3405MA-PP152W (Ultra 7-155H/RAM 32GB/Onboard/1TB SSD/ Windows 11),31990000,0,34990000,ASUS
Laptop MSI Katana 15 B13VFK - 676VN (i7-13620H/RAM 16GB/GeForce RTX 4060/1TB SSD/ Windows 11),27990000,0,31990000,MSI
Laptop Acer Aspire 5 A515-58GM-59LJ (NX.KQ4SV.001) (i5-13420H) (Xám),16490000,0,20490000,ACER
Laptop gaming ASUS TUF Gaming A15 FA507NV-LP111W (Ryzen 5 7535HS/RAM 16GB/GeForce RTX 4060/1TB SSD/ Windows 11),26490000,0,30990000,ASUS
Laptop Lenovo Ideapad Slim 5 Light 14ABR8 - 82XS0007VN (Ryzen 7 7730U/RAM 8GB/Onboard/512GB SSD/ Windows 11),14990000,0,18990000,LENOVO
Laptop HP Pavilion 14-dv2071TU (7C0W0PA) (i7-1255U) (Vàng),20990000,0,25190000,HP
Laptop Asus ZenBook 14 OLED UX3402VA-KM203W (i5-1340P) (Bạc),22190000,0,27990000,ASUS
Laptop Acer Aspire 3 A315-58-54M5 (NX.ADDSV.00M) (i5-1135G7),11990000,0,16790000,ACER
Laptop gaming HP Victus 16-r0127TX - 8C5N2PA (i7-13700H/RAM 16GB/GeForce RTX 4060/512GB SSD/ Windows 11),32990000,0,38390000,HP
Laptop Acer Swift Go AI 2024 Gen 2 SFG14-73-71ZX (Ultra 7-155H) (Bạc),25749000,0,26990000,ACER
Laptop Dell Inspiron 16 5640 - N5640-C7U161W11IBU (Core 7 150U) (Xanh),26590000,0,27690000,DELL
Laptop Lenovo Ideapad Slim 5 16IMH9 - 83DC001RVN (Core Ultra 5-125H) (Xám),21990000,0,23690000,LENOVO
Laptop Dell Inspiron 14 5440 - NDY5V1 (i5-1334U/RAM 16GB/Onboard/512GB SSD/ Windows 11 + Office),19990000,0,21390000,DELL
Laptop HP ProBook 450 G10 - 873J6PA (i5-1340P) (Bạc),18990000,0,22590000,HP
Laptop ASUS Vivobook 15 OLED A1505VA-L1201W (i9-13900H/RAM 16GB/512GB SSD/ Windows 11),21590000,0,23990000,ASUS
Laptop MSI GF63 Thin 12VE-460VN (i5-12450H) (Đen),17990000,0,22490000,MSI
